,City,Date,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
42,homer,3/29/20,RU,69.3,139.9,-1.61,87,100,4.68
43,homer,3/29/20,TR,41.25,31.83,43.14,80,98,6.49
44,homer,3/29/20,MX,24.79,-104.04,79.56,9,1,9.15
45,homer,3/29/20,SE,63.18,14.64,28.4,63,69,12.75
46,homer,3/29/20,RU,69.7,170.31,15.04,88,100,28.41
47,homer,3/29/20,US,40.6,-124.16,57.2,76,40,10.29
48,homer,3/29/20,RU,66.77,123.37,2.25,93,91,7.38
49,homer,3/29/20,ID,5.38,95.96,82.15,75,64,3.83
50,homer,3/29/20,RU,64.75,177.48,15.8,85,20,24.61
51,homer,3/29/20,MM,20.88,94.82,80.31,52,0,6.13
52,homer,3/29/20,MU,-20.34,57.76,80.6,94,75,9.17
53,homer,3/29/20,RU,69.49,88.4,21.2,92,75,15.66
54,homer,3/29/20,HK,22.29,114.16,73.0,88,40,20.8
55,homer,3/29/20,CN,37.46,118.49,47.44,48,0,5.88
56,homer,3/29/20,CA,69.45,-133.04,-23.8,74,75,8.05
57,homer,3/29/20,GL,72.79,-56.15,11.39,94,100,11.54
58,homer,3/29/20,ZA,-33.93,18.42,64.0,67,0,18.34
59,homer,3/29/20,IN,10.57,72.64,84.49,71,0,9.06
60,homer,3/29/20,ES,43.21,-8.69,57.0,62,75,14.99
61,homer,3/29/20,US,39.45,-86.18,61.0,58,75,20.8
62,homer,3/29/20,AU,-28.77,114.6,59.0,77,27,9.17
63,homer,3/29/20,RU,59.7,30.79,28.99,54,20,2.24
64,homer,3/29/20,AU,-15.77,128.73,75.2,83,50,4.7
65,homer,3/29/20,PG,-9.44,147.18,75.2,100,40,3.36
66,homer,3/29/20,US,37.1,-113.58,57.99,35,75,3.36
67,homer,3/29/20,CD,-0.22,20.87,81.93,52,24,1.1
68,homer,3/29/20,CA,62.46,-114.35,-5.01,57,75,6.93
69,homer,3/29/20,MX,30.7,-111.82,70.0,27,98,1.99
70,homer,3/29/20,NZ,-46.28,169.85,54.0,84,46,11.01
71,homer,3/29/20,MU,-20.41,57.7,80.6,94,75,9.17
72,homer,3/29/20,GL,65.61,-37.64,37.4,93,100,12.75
73,homer,3/29/20,US,22.08,-159.32,73.4,88,75,19.46
74,homer,3/29/20,US,64.86,-147.8,9.0,46,1,6.93
75,homer,3/29/20,PG,-2.02,147.27,81.91,80,76,7.78
76,homer,3/29/20,RU,71.92,114.08,-19.34,87,73,3.67
77,homer,3/29/20,DZ,36.89,4.12,56.98,69,18,6.67
78,homer,3/29/20,MR,20.5,-10.07,85.64,11,29,8.9
79,homer,3/29/20,TM,39.51,54.37,64.81,29,91,0.27
80,homer,3/29/20,CL,-37.62,-73.65,61.45,58,0,18.34
81,homer,3/29/20,CA,63.75,-68.51,8.6,71,75,3.36
82,homer,3/29/20,ZA,-34.0,24.73,60.64,74,32,5.59
83,homer,3/29/20,NZ,-35.62,174.5,54.0,95,16,7.0
84,homer,3/29/20,MY,5.33,103.14,78.8,88,40,3.36
85,homer,3/29/20,ES,27.91,-15.54,66.99,68,75,3.36
86,homer,3/29/20,JP,28.37,129.48,62.6,88,90,3.36
87,homer,3/29/20,IS,63.86,-21.15,42.8,75,75,17.22
88,homer,3/29/20,TO,-21.2,-175.2,78.8,88,75,3.36
89,homer,3/29/20,SA,24.69,46.72,75.2,27,0,12.75
90,homer,3/29/20,MY,5.41,100.34,84.2,89,40,4.81
91,homer,3/29/20,ZM,-11.36,29.56,67.91,64,16,6.02
92,homer,3/29/20,MV,-0.6,73.08,84.6,63,96,7.27
93,homer,3/29/20,AU,-34.73,135.87,61.43,69,44,9.42
94,homer,3/29/20,ZA,-27.45,23.43,72.0,56,66,6.8
95,homer,3/29/20,RE,-21.36,55.77,78.8,88,40,2.24
96,homer,3/29/20,US,40.24,-74.3,51.01,90,90,6.93
97,homer,3/29/20,US,36.62,-121.92,59.0,67,90,7.27
98,homer,3/29/20,CA,44.08,-80.2,62.01,100,85,8.05
99,homer,3/29/20,CA,47.67,-52.73,32.0,100,90,27.51
100,homer,3/29/20,US,21.35,-158.09,77.0,100,75,12.39
101,homer,3/29/20,MX,32.33,-117.03,64.4,55,40,5.82
102,homer,3/29/20,CN,38.98,117.38,51.8,46,0,6.71
103,homer,3/29/20,JP,36.67,136.73,41.0,75,75,5.82
104,homer,3/29/20,ID,-3.8,102.27,76.53,82,100,9.82
105,homer,3/29/20,EC,-0.74,-90.35,84.2,70,20,3.36
106,homer,3/29/20,NO,60.65,10.93,39.2,38,32,3.36
107,homer,3/29/20,GL,77.48,-69.36,6.55,91,100,7.96
108,homer,3/29/20,AU,-32.93,151.78,66.99,93,91,3.36
109,homer,3/29/20,ID,0.13,117.5,79.86,86,66,7.49
110,homer,3/29/20,RU,60.38,92.63,23.5,94,91,7.56
111,homer,3/29/20,AO,-12.58,13.41,78.12,79,18,4.36
112,homer,3/29/20,AU,-24.87,113.63,73.4,69,66,12.75
113,homer,3/29/20,PT,39.05,-27.98,58.15,77,73,22.95
114,homer,3/29/20,MX,27.98,-114.06,63.55,58,97,18.52
115,homer,3/29/20,GW,11.28,-15.83,81.1,67,15,16.69
116,homer,3/29/20,GF,5.38,-52.95,81.41,79,97,14.47
117,homer,3/29/20,RU,71.69,128.87,-3.39,90,81,3.2
118,homer,3/29/20,MZ,-19.61,34.74,77.0,78,1,6.93
119,homer,3/29/20,ID,-8.43,114.33,79.47,82,93,3.49
120,homer,3/29/20,CN,36.38,119.75,44.01,74,0,4.47
121,homer,3/29/20,NZ,-46.6,168.33,46.99,90,39,3.0
122,homer,3/29/20,IT,46.62,10.7,45.0,52,90,3.36
123,homer,3/29/20,PF,-9.8,-139.03,82.15,78,5,18.23
124,homer,3/29/20,RU,57.47,31.12,31.59,84,100,8.05
125,homer,3/29/20,JP,35.73,140.83,39.2,86,75,10.29
126,homer,3/29/20,RU,69.38,178.42,16.3,82,99,9.1
127,homer,3/29/20,TC,21.46,-71.14,78.39,77,0,15.9
128,homer,3/29/20,GB,55.46,-4.63,46.4,56,20,13.87
129,homer,3/29/20,GF,3.17,-52.32,81.79,88,88,4.88
130,homer,3/29/20,RU,64.57,143.2,10.87,85,100,4.5
131,homer,3/29/20,AU,-42.78,147.06,60.8,59,13,10.29
132,homer,3/29/20,ZA,-33.02,27.91,70.39,79,10,8.75
133,homer,3/29/20,BF,13.09,-1.08,97.72,10,54,5.97
134,homer,3/29/20,IN,28.17,94.77,62.01,61,32,4.79
135,homer,3/29/20,AU,-12.5,131.05,80.6,94,4,2.24
136,homer,3/29/20,SO,11.28,49.18,82.13,72,3,4.5
137,homer,3/29/20,JP,36.3,139.8,43.0,70,75,3.36
138,homer,3/29/20,CL,-35.33,-72.42,67.17,51,37,14.85
139,homer,3/29/20,BR,-9.07,-44.36,86.32,59,44,7.52
140,homer,3/29/20,KH,11.99,105.46,80.31,65,49,9.82
141,homer,3/29/20,RU,42.71,130.78,36.55,81,0,2.64
142,homer,3/29/20,RU,68.05,166.44,7.57,86,100,5.73
143,homer,3/29/20,BR,-2.92,-39.92,84.2,83,75,9.17
144,homer,3/29/20,AU,-38.27,141.97,59.11,79,45,14.09
145,homer,3/29/20,BR,-7.26,-64.8,92.88,52,79,1.72
146,homer,3/29/20,NU,-19.06,-169.92,77.0,94,36,3.36
147,homer,3/29/20,FR,46.75,5.75,42.8,86,90,13.87
148,homer,3/29/20,AR,-35.66,-63.76,83.84,44,5,5.03
149,homer,3/29/20,SO,2.04,45.34,83.35,79,57,14.34
150,homer,3/29/20,RU,73.51,80.55,4.39,95,98,8.12
151,homer,3/29/20,RU,62.1,126.7,8.47,93,75,3.22
152,homer,3/29/20,CN,27.9,102.26,51.91,42,31,2.37
153,homer,3/29/20,AR,-43.3,-65.1,68.11,30,0,4.94
154,homer,3/29/20,RU,68.75,161.3,24.84,91,100,18.95
155,homer,3/29/20,US,38.42,-121.42,60.8,71,75,3.36
156,homer,3/29/20,NZ,-40.85,172.8,59.0,74,81,5.01
157,homer,3/29/20,NG,12.41,4.49,96.37,9,40,8.12
158,homer,3/29/20,CA,49.78,-74.85,41.0,44,90,13.87
159,homer,3/29/20,GL,69.22,-51.1,33.8,86,100,6.93
160,homer,3/29/20,RU,64.56,39.83,23.0,92,90,15.66
161,homer,3/29/20,PT,40.16,-8.33,62.01,59,20,5.82
162,homer,3/29/20,NO,70.37,31.11,17.6,72,40,11.41
163,homer,3/29/20,BS,26.54,-77.06,76.28,73,28,11.32
164,homer,3/29/20,RU,66.32,-179.17,-1.03,90,86,5.21
165,homer,3/29/20,KZ,43.3,52.8,55.42,38,26,19.39
166,homer,3/29/20,ES,28.66,-17.92,68.0,64,75,5.82
167,homer,3/29/20,OM,17.02,54.09,80.6,78,75,10.29
168,homer,3/29/20,RU,50.32,130.37,25.34,92,35,1.05
169,homer,3/29/20,RE,-21.34,55.48,78.8,88,44,2.24
170,homer,3/29/20,FI,61.2,21.73,28.4,54,22,2.24
171,homer,3/29/20,BR,-19.0,-57.6,93.2,56,75,9.17
172,homer,3/29/20,CO,11.78,-72.44,95.0,39,20,20.8
173,homer,3/29/20,ZM,-8.84,31.37,62.35,58,49,2.66
174,homer,3/29/20,GD,12.16,-61.73,86.0,62,40,18.34
175,homer,3/29/20,ZA,-33.59,26.89,64.0,92,10,4.0
176,homer,3/29/20,RU,46.83,40.75,51.67,47,76,10.83
177,homer,3/29/20,GL,61.99,-49.67,31.66,98,100,20.8
178,homer,3/29/20,BR,-13.26,-43.42,86.0,58,91,6.93
179,homer,3/29/20,US,64.5,-165.41,1.4,45,1,1.61
180,homer,3/29/20,MZ,-17.88,36.89,80.6,65,3,5.82
181,homer,3/29/20,SY,34.45,40.92,65.08,38,75,7.25
182,homer,3/29/20,MM,20.15,92.9,77.67,88,0,2.93
183,homer,3/29/20,FR,43.11,6.02,57.2,87,32,4.7
184,homer,3/29/20,AU,-20.02,148.23,75.0,88,7,8.05
185,homer,3/29/20,RU,51.93,116.63,28.13,79,16,6.06
186,homer,3/29/20,IS,66.04,-17.34,46.4,84,75,24.16
187,homer,3/29/20,CN,43.61,122.27,43.84,49,0,13.44
188,homer,3/29/20,GL,60.92,-46.05,41.0,86,100,10.89
189,homer,3/29/20,CA,60.82,-115.8,-4.0,64,90,10.29
190,homer,3/29/20,NO,70.86,29.09,17.6,85,75,27.51
191,homer,3/29/20,BR,-31.77,-52.34,87.8,48,40,8.05
192,homer,3/29/20,US,20.89,-156.47,75.2,69,20,16.11
193,homer,3/29/20,SJ,78.22,15.64,1.4,64,40,6.93
194,homer,3/29/20,CN,26.59,101.71,61.92,25,0,2.04
195,homer,3/29/20,NG,10.37,10.73,90.45,13,51,1.9
196,homer,3/29/20,CA,51.23,-58.65,31.21,93,0,7.72
197,homer,3/29/20,ZA,-33.92,25.57,62.6,88,40,10.29
198,homer,3/29/20,US,41.14,-73.36,50.0,100,90,19.46
199,homer,3/29/20,ID,-8.47,140.33,78.91,88,98,3.49
200,homer,3/29/20,US,21.4,-157.74,77.0,69,90,10.29
201,homer,3/29/20,MU,-20.52,57.52,80.6,94,75,9.17
202,homer,3/29/20,BR,-12.74,-60.15,84.2,70,75,6.93
203,homer,3/29/20,US,34.88,-76.9,88.0,61,75,14.99
204,homer,3/29/20,RU,58.43,31.7,30.65,81,100,8.39
205,homer,3/29/20,VE,9.35,-65.32,95.04,36,59,8.57
206,homer,3/29/20,JP,43.32,145.57,32.76,88,11,6.89
207,homer,3/29/20,NO,67.67,12.69,30.2,68,40,23.04
208,homer,3/29/20,TZ,-4.97,39.83,84.54,74,92,10.56
209,homer,3/29/20,ML,18.44,1.41,94.96,13,93,9.75
210,homer,3/29/20,US,26.19,-97.7,86.0,83,90,13.87
211,homer,3/29/20,GL,60.14,-45.24,37.36,92,100,22.19
212,homer,3/29/20,RU,65.58,-171.0,1.06,83,0,4.0
213,homer,3/29/20,MZ,-23.86,35.38,75.2,69,0,11.21
214,homer,3/29/20,US,36.19,-94.13,66.2,36,1,10.29
215,homer,3/29/20,ID,-3.7,128.18,81.7,76,100,5.91
216,homer,3/29/20,ID,-2.58,115.38,75.72,89,72,1.03
217,homer,3/29/20,GB,51.54,-2.42,45.0,48,3,23.04
218,homer,3/29/20,AU,-33.87,121.9,51.8,93,0,5.82
219,homer,3/29/20,CV,16.18,-22.92,75.2,60,75,19.46
220,homer,3/29/20,AU,-17.0,145.43,75.2,94,75,9.17
221,homer,3/29/20,RU,70.63,147.92,6.4,95,99,10.33
222,homer,3/29/20,PE,-4.27,-81.21,78.44,61,27,8.41
223,homer,3/29/20,US,45.58,-122.35,54.0,71,90,11.41
224,homer,3/29/20,NZ,-45.75,170.57,54.0,96,82,10.54
225,homer,3/29/20,RU,66.08,76.63,24.39,93,85,25.61
226,homer,3/29/20,ES,28.96,-13.55,66.2,72,75,8.05
227,homer,3/29/20,TZ,-4.5,37.9,75.45,66,99,1.3
228,homer,3/29/20,AU,-23.53,148.17,69.8,88,0,4.7
229,homer,3/29/20,MW,-15.81,35.65,67.42,74,22,4.12
230,homer,3/29/20,US,33.7,-117.77,64.4,55,75,9.17
231,homer,3/29/20,IN,20.9,70.37,75.61,69,0,10.63
232,homer,3/29/20,KM,-11.38,43.28,82.4,74,75,4.7
233,homer,3/29/20,US,45.52,-122.99,54.0,71,75,13.87
234,homer,3/29/20,RU,68.0,35.01,15.21,90,70,14.74
235,homer,3/29/20,AR,-39.03,-67.58,73.4,35,0,8.05
236,homer,3/29/20,KZ,48.59,57.19,41.0,60,8,12.24
237,homer,3/29/20,RU,62.53,155.8,5.67,86,48,6.69
238,homer,3/29/20,SE,67.86,20.23,14.0,66,20,3.36
239,homer,3/29/20,LY,27.04,14.43,75.15,35,86,10.58
240,homer,3/29/20,RU,59.58,151.28,16.2,94,100,6.8
241,homer,3/29/20,US,57.05,-135.33,33.8,50,90,11.41
242,homer,3/29/20,GF,4.93,-52.33,84.2,70,75,13.87
243,homer,3/29/20,BR,-30.18,-50.21,80.26,65,35,10.29
244,homer,3/29/20,YE,15.17,44.32,61.84,30,3,6.17
245,homer,3/29/20,US,42.04,-87.69,48.2,65,90,24.16
246,homer,3/29/20,CA,55.74,-97.86,3.2,49,75,9.17
247,homer,3/29/20,AR,-27.8,-64.26,86.49,49,57,7.29
248,homer,3/29/20,BR,-20.33,-40.29,82.99,74,47,10.29
249,homer,3/29/20,US,31.65,-106.3,66.0,17,90,8.05
250,homer,3/29/20,KY,19.28,-81.25,86.0,66,20,12.75
251,homer,3/29/20,PG,-2.57,150.8,82.89,73,93,5.01
252,homer,3/29/20,PE,-13.7,-76.22,75.99,30,85,11.41
253,homer,3/29/20,ID,0.8,127.4,79.65,77,94,1.41
254,homer,3/29/20,BR,-5.2,-35.46,82.4,83,75,6.93
255,homer,3/29/20,CN,35.54,106.69,43.34,42,68,2.8
256,homer,3/29/20,RU,67.8,130.41,-9.49,77,35,2.57
257,homer,3/29/20,AR,-40.81,-63.0,71.17,38,38,9.71
258,homer,3/29/20,NC,-21.35,165.15,73.47,81,48,8.14
259,homer,3/29/20,PT,38.73,-27.07,59.0,77,40,26.69
260,homer,3/29/20,BR,-10.75,-62.22,80.42,82,100,1.74
261,homer,3/29/20,IN,21.45,83.97,81.97,31,10,3.8
262,homer,3/29/20,CA,48.78,-87.1,33.8,100,90,14.99
263,homer,3/29/20,VE,8.01,-62.4,91.98,34,56,7.94
264,homer,3/29/20,RU,60.02,30.02,28.99,54,20,2.24
265,homer,3/29/20,US,64.84,-147.72,9.0,46,1,6.93
266,homer,3/29/20,BR,-10.41,-36.43,82.47,78,100,11.43
267,homer,3/29/20,VE,9.44,-64.47,94.95,33,46,9.4
268,homer,3/29/20,RO,46.43,26.4,50.0,43,88,6.93
269,homer,3/29/20,FR,48.38,-4.62,45.0,64,75,26.4
270,homer,3/29/20,SE,62.49,17.33,32.0,100,90,3.36
271,homer,3/29/20,IQ,36.32,41.88,55.78,55,54,11.52
272,homer,3/29/20,RU,62.72,147.95,4.05,84,100,8.01
273,homer,3/29/20,CA,51.26,-80.61,33.8,74,1,13.87
274,homer,3/29/20,AO,-8.84,13.23,82.4,74,20,9.17
275,homer,3/29/20,JP,24.8,125.28,69.46,69,92,3.24
276,homer,3/29/20,KZ,44.51,50.26,55.92,38,0,17.25
277,homer,3/29/20,AU,-17.53,146.03,73.62,91,70,5.44
278,homer,3/29/20,LK,5.95,80.54,78.19,82,28,2.44
279,homer,3/29/20,RU,66.83,70.83,25.66,94,37,25.17
280,homer,3/29/20,VU,-15.53,167.17,76.46,85,93,2.35
281,homer,3/29/20,CD,-8.74,24.99,68.52,67,78,2.84
282,homer,3/29/20,CN,35.6,103.21,42.06,36,68,1.72
283,homer,3/29/20,IN,19.8,75.53,75.2,73,40,3.42
284,homer,3/29/20,NC,-20.23,164.02,77.77,77,19,17.36
285,homer,3/29/20,US,42.16,-72.33,48.2,87,90,3.36
286,homer,3/29/20,ZA,-26.81,27.82,66.67,39,91,7.36
287,homer,3/29/20,PK,35.21,71.88,47.73,32,66,5.64
288,homer,3/29/20,NZ,-46.13,167.68,46.99,90,7,3.0
289,homer,3/29/20,CA,58.52,-117.14,6.8,77,90,6.93
290,homer,3/29/20,MX,28.72,-111.58,75.99,31,75,3.36
291,homer,3/29/20,US,39.73,-104.83,53.6,26,75,10.29
292,homer,3/29/20,CA,50.2,-66.38,33.8,55,20,13.87
293,homer,3/29/20,BW,-19.98,23.42,75.2,69,20,6.93
294,homer,3/29/20,PH,17.54,120.36,78.46,74,76,3.8
295,homer,3/29/20,CM,5.14,10.52,68.29,66,92,4.0
296,homer,3/29/20,RU,71.97,102.5,-10.75,91,98,1.16
297,homer,3/29/20,ZA,-33.01,17.94,64.4,59,0,18.34
298,homer,3/29/20,IR,25.29,60.64,74.95,73,81,13.44
299,homer,3/29/20,AL,40.87,20.18,51.76,70,51,1.7
300,homer,3/29/20,RU,53.1,34.07,47.44,57,100,6.17
301,homer,3/29/20,AR,-38.0,-57.56,70.0,94,75,11.41
302,homer,3/29/20,CN,40.28,97.2,43.61,28,100,4.97
303,homer,3/29/20,TD,9.36,17.37,94.1,22,83,1.83
304,homer,3/29/20,MX,25.47,-108.1,92.32,10,78,4.52
305,homer,3/29/20,ID,-0.95,100.35,76.6,82,100,4.34
306,homer,3/29/20,PE,-15.43,-74.62,81.59,49,67,9.53
307,homer,3/29/20,ID,-2.08,101.38,66.07,74,100,1.19
308,homer,3/29/20,HN,15.0,-83.23,80.6,83,75,6.93
309,homer,3/29/20,ID,4.14,96.13,80.19,80,80,1.92
310,homer,3/29/20,ES,37.81,-2.54,60.01,52,61,4.0
311,homer,3/29/20,CN,42.54,129.0,32.32,70,0,5.64
312,homer,3/29/20,PH,14.35,121.02,82.4,69,20,6.93
313,homer,3/29/20,MG,-14.27,50.17,77.76,90,92,1.19
314,homer,3/29/20,UY,-34.67,-54.92,78.8,69,75,14.99
315,homer,3/29/20,PR,17.97,-66.91,86.0,63,40,21.92
316,homer,3/29/20,CA,47.38,-61.86,37.4,59,5,10.29
317,homer,3/29/20,PT,38.52,-28.7,58.73,76,47,18.99
318,homer,3/29/20,PH,8.0,124.29,67.71,71,49,2.55
319,homer,3/29/20,VU,-16.07,167.38,78.78,82,87,7.09
320,homer,3/29/20,BF,10.97,-3.25,101.14,14,90,3.13
321,homer,3/29/20,TZ,-11.37,38.42,75.65,82,10,1.54
322,homer,3/29/20,BR,-18.51,-54.76,86.83,63,28,4.54
323,homer,3/29/20,MZ,-13.13,39.0,70.65,82,47,3.2
324,homer,3/29/20,CA,65.28,-126.83,-13.0,69,20,16.11
325,homer,3/29/20,AO,-12.35,13.55,78.75,78,12,4.36
326,homer,3/29/20,JP,34.67,138.95,44.01,91,100,1.99
327,homer,3/29/20,US,25.9,-97.5,86.0,62,75,13.87
328,homer,3/29/20,US,34.64,-120.46,66.0,59,40,6.93
329,homer,3/29/20,US,32.78,-79.93,87.01,69,1,11.41
330,homer,3/29/20,LY,31.21,16.59,65.66,67,99,10.31
331,homer,3/29/20,SE,60.6,15.63,37.99,37,99,11.41
332,homer,3/29/20,ML,22.68,-3.98,85.55,12,0,7.09
333,homer,3/29/20,RU,43.11,44.51,52.0,51,87,1.34
334,homer,3/29/20,TG,6.58,1.5,84.2,79,20,16.11
335,homer,3/29/20,PT,33.08,-16.33,64.4,72,75,3.36
336,homer,3/29/20,NZ,-38.18,175.2,57.0,87,11,5.99
337,homer,3/29/20,IN,29.85,80.53,50.38,28,29,8.79
338,homer,3/29/20,BR,-22.97,-42.03,82.4,61,20,12.75
339,homer,3/29/20,MX,16.52,-98.75,89.2,39,0,9.06
340,homer,3/29/20,ZM,-14.97,22.68,71.02,58,19,2.62
341,homer,3/29/20,ID,-0.88,131.25,77.74,88,99,3.15
342,homer,3/29/20,US,36.57,-119.61,59.0,93,73,1.92
343,homer,3/29/20,ES,36.19,-5.92,62.01,72,75,6.93
344,homer,3/29/20,SD,14.2,24.67,78.58,13,14,13.29
345,homer,3/29/20,NA,-26.5,17.16,79.92,11,5,12.1
346,homer,3/29/20,MN,45.76,106.27,33.8,35,100,7.29
347,homer,3/29/20,RU,59.43,62.35,35.02,88,100,9.93
348,homer,3/29/20,DE,49.25,9.85,41.0,72,100,16.11
349,homer,3/29/20,RU,55.6,43.76,45.19,61,99,9.42
350,homer,3/29/20,RS,43.97,19.57,44.6,56,67,4.7
351,homer,3/29/20,BR,-1.8,-53.48,92.57,49,37,6.13
352,homer,3/29/20,EG,31.4,30.42,68.0,28,7,4.7
353,homer,3/29/20,US,34.26,-88.7,75.99,35,1,10.29
354,homer,3/29/20,RU,58.31,82.91,33.28,95,94,13.29
355,homer,3/29/20,EG,31.35,27.25,64.4,42,24,5.82
356,homer,3/29/20,AR,-34.65,-58.62,88.0,69,2,3.36
357,homer,3/29/20,AU,-38.33,143.58,55.99,96,31,5.01
358,homer,3/29/20,SB,-8.14,159.59,79.45,83,100,2.66
359,homer,3/29/20,IT,45.17,10.78,63.0,48,75,3.36
360,homer,3/29/20,FO,62.16,-7.17,44.6,75,11,9.17
361,homer,3/29/20,US,41.3,-96.17,60.01,34,1,18.34
362,homer,3/29/20,NO,62.58,6.13,37.0,93,75,4.7
363,homer,3/29/20,CN,28.45,117.97,45.54,91,100,1.32
364,homer,3/29/20,PE,-12.4,-74.9,57.02,27,95,6.38
365,homer,3/29/20,MN,49.98,92.07,16.48,76,68,6.17
366,homer,3/29/20,LK,6.12,81.12,82.4,88,40,1.12
367,homer,3/29/20,AU,-20.73,139.5,69.8,60,0,10.65
368,homer,3/29/20,SN,14.77,-17.06,82.4,42,29,14.99
369,homer,3/29/20,US,43.21,-75.46,57.0,81,90,17.22
370,homer,3/29/20,PG,-6.32,155.48,70.77,77,94,0.65
371,homer,3/29/20,KZ,44.17,66.75,50.29,39,0,18.39
372,homer,3/29/20,US,41.59,-88.06,48.2,75,90,29.97
373,homer,3/29/20,RU,67.45,153.68,16.66,89,28,9.86
374,homer,3/29/20,US,37.34,-121.89,59.0,71,75,9.17
375,homer,3/29/20,PF,-17.73,-149.15,86.0,62,84,6.93
376,homer,3/29/20,NC,-22.67,167.48,74.89,77,73,22.21
377,homer,3/29/20,IN,26.23,79.85,77.7,22,0,9.8
378,homer,3/29/20,PK,29.51,71.22,72.82,32,1,5.06
379,homer,3/29/20,OM,22.57,59.53,76.6,65,0,17.11
380,homer,3/29/20,US,41.14,-104.82,52.0,24,1,6.93
381,homer,3/29/20,FO,62.23,-6.59,44.6,75,30,9.17
382,homer,3/29/20,PA,8.52,-81.71,74.28,35,52,10.92
383,homer,3/29/20,RU,62.14,117.63,18.73,95,72,6.85
384,homer,3/29/20,SO,9.49,50.81,80.15,72,52,10.45
385,homer,3/29/20,MX,15.85,-97.07,86.0,79,5,10.29
386,homer,3/29/20,CD,-1.95,18.27,81.43,57,18,2.98
387,homer,3/29/20,MX,19.22,-104.7,86.0,79,5,11.41
388,homer,3/29/20,CI,9.45,-5.63,91.56,35,95,7.23
389,homer,3/29/20,ES,39.97,-0.25,68.0,63,59,5.82
390,homer,3/29/20,KZ,42.3,69.6,51.8,32,0,13.42
391,homer,3/29/20,IR,35.57,53.4,50.88,53,82,1.21
392,homer,3/29/20,DE,53.6,7.2,39.99,29,0,12.75
393,homer,3/29/20,MX,29.43,-110.4,75.99,28,99,7.0
394,homer,3/29/20,PE,-11.1,-77.61,79.34,60,96,10.13
395,homer,3/29/20,ID,-3.37,135.48,77.23,86,100,0.87
396,homer,3/29/20,US,38.44,-105.24,54.0,20,1,9.17
397,homer,3/29/20,MY,4.88,101.96,72.03,84,18,0.45
398,homer,3/29/20,RU,61.28,108.01,20.53,93,99,11.18
399,homer,3/29/20,CA,55.1,-105.28,3.2,71,90,11.41
