,City,Date,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,homer,3/29/20,US,41.37,-73.41,48.99,93,90,6.93
1,homer,3/29/20,RU,64.38,-173.3,3.06,68,0,3.38
2,homer,3/29/20,NZ,-46.19,168.86,46.99,90,20,3.0
3,homer,3/29/20,TL,-8.93,125.41,60.64,56,100,2.04
4,homer,3/29/20,PF,-23.12,-134.97,79.21,80,59,11.72
5,homer,3/29/20,MX,22.89,-109.91,79.0,60,40,9.17
6,homer,3/29/20,RU,45.23,147.88,30.02,90,65,8.95
7,homer,3/29/20,CL,-53.15,-70.92,53.6,54,75,29.97
8,homer,3/29/20,AU,-42.88,147.33,60.8,59,14,10.29
9,homer,3/29/20,US,19.73,-155.09,72.0,83,75,3.36
10,homer,3/29/20,RU,50.68,156.12,27.3,91,80,16.67
11,homer,3/29/20,MY,1.24,111.46,77.0,100,56,1.66
12,homer,3/29/20,US,42.1,-79.24,64.0,67,75,20.8
13,homer,3/29/20,CN,27.21,108.59,38.5,73,100,1.68
14,homer,3/29/20,IS,64.25,-15.21,50.0,61,11,14.99
15,homer,3/29/20,PH,11.0,122.67,77.76,80,48,8.7
16,homer,3/29/20,AR,-54.8,-68.3,51.8,57,75,6.93
17,homer,3/29/20,UY,-33.7,-53.46,80.4,61,30,4.12
18,homer,3/29/20,AU,-33.65,115.33,59.5,73,44,3.22
19,homer,3/29/20,PF,-16.48,-151.75,83.28,72,44,9.75
20,homer,3/29/20,CN,28.46,119.91,48.63,85,100,1.63
21,homer,3/29/20,KI,3.07,172.79,80.69,67,100,5.1
22,homer,3/29/20,ZA,-34.53,20.04,59.0,67,6,4.7
23,homer,3/29/20,TD,9.11,18.35,93.2,41,77,1.68
24,homer,3/29/20,PE,-7.84,-79.15,71.6,83,43,9.17
25,homer,3/29/20,US,42.6,-73.97,50.0,76,90,13.87
26,homer,3/29/20,UA,48.5,30.94,53.37,50,66,5.46
27,homer,3/29/20,ZA,-34.42,19.23,63.0,78,2,11.12
28,homer,3/29/20,AO,-9.66,20.39,65.16,71,84,3.04
29,homer,3/29/20,CK,-21.21,-159.78,80.6,83,40,9.17
30,homer,3/29/20,US,42.25,-75.83,54.0,87,90,14.99
31,homer,3/29/20,NG,9.9,4.42,97.74,23,55,2.21
32,homer,3/29/20,CA,54.72,-113.29,19.27,91,100,7.11
33,homer,3/29/20,IR,32.03,51.88,53.74,28,96,10.58
34,homer,3/29/20,BR,-24.79,-50.01,69.75,68,100,2.28
35,homer,3/29/20,RU,61.95,159.23,13.21,93,74,8.48
36,homer,3/29/20,US,57.79,-152.41,30.2,58,90,11.41
37,homer,3/29/20,BR,-6.66,-69.87,88.66,59,80,4.68
38,homer,3/29/20,RU,53.05,90.91,26.26,88,87,11.32
39,homer,3/29/20,CN,39.82,109.98,40.53,28,45,8.25
40,homer,3/29/20,US,71.29,-156.79,-18.4,75,1,11.41
41,homer,3/29/20,IN,13.22,80.32,82.99,74,20,7.47
